"date","time","session","title","topics","paper.1","paper.2","paper.3","paper.4","paper.5","paper.6","organizer","chair","discussants","panelist","moderator","paper"
"11/18/2023","1:00 PM-2:45 PM","1.C.20","Economics of Education II","Education","
School District Size, the Bargaining Power of Teachers’ Unions, and Student Achievement
Krishna Regmi*, Florida Gulf Coast University
Benjamin Scafidi, Kennesaw State University","Advertising Externalities of University Athletic Success: Cannibalism or Advantageous
Nancy Haskell*, University of Dayton
Trevor Collier, University of Dayton
Kurt W. Rotthoff, Seton Hall University","Another Look at Reading Laws
Anca M. Cotet-Grecu*, Seton Hall University","Comparing Commute Distances between Hybrid and Conventional Schools
Eric Wearne*, Kennesaw State University
John Thompson, Kennesaw State University","Regulations and School Staffing
Angela Dills*, Western Carolina University
Benjamin Scafidi, Kennesaw State University","","Angela Dills, Western Carolina University","Angela Dills, Western Carolina University","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.21","Institutions and Economic Freedom","Development","
Institutions as Predictors of Government Exclusion
Christian Bjørnskov*, Aarhus University
Niclas Berggren, Research Institute of Industrial Economics (IFN)","Endogenous Social Contracts and State Capacity
Jerg Gutmann*, University of Hamburg","Does Capitalism Disfavor Women?
Niclas Berggren*, Research Institute of Industrial Economics (IFN)
Christian Bjørnskov, Aarhus University","","","","Christian Bjørnskov, Aarhus University","Christian Bjørnskov, Aarhus University","Jerg Gutmann, University of Hamburg
Niclas Berggren, Research Institute of Industrial Economics (IFN)
Christian Bjørnskov, Aarhus University","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.22","Education and Economic History","Education, History","
Reconstruction-Era Education and Long-Run Black-White Inequality
Ethan Schmick*, Marquette University
Daniel Jones, University of Pittsburgh","The Long-Run Effects of Temporarily Closing Schools: Evidence from Virginia, 1870s-1910s
Paul Winfree*, Queen's University
Ethan Schmick, Marquette University","Hell and the High School: 1920s Anti-Evolution Curriculum Policies and Educational Attainment
Neil Silveus*, Hope College
Michael Coury, State University of New York at Buffalo","Mail Delivery and Access to Higher Education: Evidence from the First U.S. Correspondence Program
Mario Cannella*, Northwestern University","","","Trevon D. Logan, The Ohio State University","Trevon D. Logan, The Ohio State University","Paul Winfree, Queen's University
Mario Cannella, Northwestern University
Neil Silveus, Hope College","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.23","Identity, Norm, and Cooperation","Misc.","
Team Incentives for Physical Activity
Dustin Tracy*, Augusta University
Stephen Rassenti, Chapman University","Gender Identity and Team Self Selection
Marisa Cameron*, West Virginia University
Nathaniel C. Burke, West Virginia University","Income Interdependence and Informal Risk Sharing under the Shadow of the Future
Ajalavat Viriyavipart*, American University of Sharjah
Paan Jindapon, The University of Alabama
Pacharasut Sujarittanonta, Chulalongkorn University","Moral Rules and Social Preferences in Cooperation Problems
Ernesto María Gavassa Pérez*, University of Navarra","","","Bing Jiang, Virginia Military Institute","Dustin Tracy, Augusta University","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.24","Distributional Impacts","Misc.","
Environmental Cooperation and Trade: The Impact of Heterogeneity in Environmental Damages
Dana Ghandour*, Concordia University
Effrosyni Diamantoudi, Concordia University","Job Loss, Selective Migration, and the Accumulation of Disadvantage: Evidence from Appalachia’s Coal Country
Eleanor Krause*, Harvard University","Sharecropping in Indian Agriculture: The Role of Caste, Class, and Legal Provisions
Roshan Saha*, Auburn University","Alternative Dispute Resolution (ADR) and Superfund Cleanup Time
Ana Klis*, Northern Illinois University","","","Brian Vander Naald, Drake University","Ana Klis, Northern Illinois University","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.25","Health I","Health","
The Hidden Billion
Jacob Hochard*, University of Wyoming
Edward Barbier, Colorado State University","Sending Agricultural Water to the Salton Sea to Improve Public Health? An Integrated Agri-Hydro-Health Economic Analysis
Jingjing Wang*, The University of New Mexico
Benjamin Jones, The University of New Mexico
John Fleck, The University of New Mexico","It Is a Lethal Heat: The Effects of Prenatal Temperature Shock on Health at Birth
Yumin Hong*, The University of Texas at Austin","","","","Brian Vander Naald, Drake University","Jingjing Wang, The University of New Mexico","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.26","The Economics of Water","Enviro. / Nat. Resources","
Effects of the Significant Non-Compliance (SNC) National Compliance Initiative (NCI) on Compliance Outcomes
Dietrich Earnhart*, The University of Kansas
Zach Raff, USDA Economic Research Servicet","Charging for Water: Household Consumption and Block Rates
Srishti Slaria*, The University of Kansas
William Duncan, The University of Kansas","Environmental Justice and the Safe Drinking Water Act
Irene Caracioni*, The University of Kansas
Dietrich Earnhart, The University of Kansas
Peyton Necaise, The University of Kansas
Josh Conklin, The University of Kansas","Modeling Water Quality and Community Characteristics
William Duncan*, The University of Kansas
Dietrich Earnhart, The University of Kansas
Sam Sokolof, The University of Kansas
Parker Stowers, The University of Kansas","","","Donna Ginther, The University of Kansas","William Duncan, The University of Kansas","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.27","Airlines and Air Cargo","IO","
The JetBlue Effect: An Analysis of Entry on Airfares for Premium Cabins
Kerry Tan*, Loyola University Maryland
Nicholas G. Rupp, East Carolina University","Moving Boxes (and People) by Air
Zoe Laulederkind*, University of Wisconsin–Milwaukee","The Impact of Cartel Dissolution on Prices: Evidence from the Air Cargo Cartel
Douglas Turner*, Florida Polytechnic University","","","","Nicholas G. Rupp, East Carolina University","Nicholas G. Rupp, East Carolina University","Alexander Luttman, The MITRE Corporation
Austin Drukker, Federal Trade Commission
Myongjin Kim, The University of Oklahoma","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.28","Market Power I","IO","
Markups and Business Dynamism across Industries
Brian C. Albrecht*, International Center for Law and Economics","The Illusion of Competition
Ryan Westphal*, Brandeis University","Market Power and Economic Inequality
Matthew Leisten*, Federal Trade Commission","Technology and Market Power: The United States Cement Industry, 1974-2019
Gretchen Sileo*, Temple University","","","Jonathan Wallace Williams, The University of North Carolina at Chapel Hill","Matthew Leisten, Federal Trade Commission","Andrew Capron, The University of North Carolina at Chapel Hill
Andrew Kearns, Federal Trade Commission
Drew Van Kuiken, The University of North Carolina at Chapel Hill
Alex Marsh, The University of North Carolina at Chapel Hill","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.29","Issues in Immigration into and Emigration from Wealthy Countries and Methods in Education","Education, Labor, Metrics, Policy","
Counter Productive Aspects of U.S. Immigration Law
Guillermina Jasso*, New York University","Party Penalty or Party Premium? ‘Party-Swedes’ in Norway and Their Pre- and Post-Migration Income
Marianne Tønnessen*, Oslo Metropolitan University
Andrea F. Monti, Stockholm University","Au Revoir or Adieu? The Outmigration of the Native-Born in Norway and Their Return
Amelie F. Constant*, University of Pennsylvania","Is Emigration from a Wealthy Country Less of An Individual Process Than Commonly Assumed?
Astri Syse*, Norwegian Institute of Public Health
Andrea F. Monti, Stockholm University
Marianne Tønnessen, Oslo Metropolitan University","The Impact of Class Size Reduction on Student Achievement: A Meta-Analysis of Causal Evidence
Spyros Konstantopoulos*, Michigan State University
Ting Shen, Missouri University of Science and Technology","","Amelie F. Constant, University of Pennsylvania","Amelie F. Constant, University of Pennsylvania","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.30","Economics of Donor Aid and Development","Development","
Evaluating Community-Driven Development: Evidence from Myanmar
Erica Field*, Duke University
Luke Fesko, Marist College
Sudhanshu Sharma, International Growth Centre","What Does Donor Conditionality Do? Causal Evidence from Kenyan Electrification
Susanna Berkouwer*, University of Pennsylvania
Catherine Wolfram, University of California, Berkeley
Edward Miguel, University of California, Berkeley
Eric Hsu, University of California, Berkeley","Does Development Aid Undermine Political Accountability? Leader and Constituent Responses to a Large-Scale Intervention
A. Mushfiq Mobarak*, Yale University
Raymond Guiteras, North Carolina State University","","","","Raymond Guiteras, North Carolina State University","Raymond Guiteras, North Carolina State University","A. Mushfiq Mobarak, Yale University
Susanna Berkouwer, University of Pennsylvania
Erica Field, Duke University","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.31","Labor Markets with Heterogeneous Workers and Firms","Labor","
Who Pays for Training? Theory and Evidence on Firm-Level Differences in Training Investments
Daniela Vidart*, University of Connecticut
Xiao Ma, Peking University
Alejandro Nakab, Torcuato Di Tella University","Misallocative Growth
Niklas Engbom*, New York University","The Effect of Unemployment Insurance Eligibility in Equilibrium
Benjamin Griffy*, State University of New York at Albany
Yinghsuan Chao, University of Wisconsin–Oshkosh
David Wiczer, Federal Reserve Bank of Atlanta","Taxation and Entrepreneurship in the United States
Hans Holter*, University of Delaware
Serhiy Stepanchuk, University of Southampton
Yichen Wang, Peking University","","","Pedro Silos, Temple University","Pedro Silos, Temple University","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.32","Topics in Economic Development","Development","
Can Revenue Index Insurance Outperform Yield Index Insurance?
John P. Dougherty*, Loyola University Maryland
Richard A. Gallenstein, The Catholic University of America","Can International Income Transfers Reduce the Use of Child Labor?
Bharati Basu*, Central Michigan University
Rene Zamarripa, Central Michigan University","On the Empirics of Geographic Isolation and Technology Adoption
Yi Duan*, Marshall University
Oasis Kodila-Tedika, University of Kinshasa
Boniface Yemba, Marshall University
Mathias Cinyabuguma, World Bank","Transparent Corruption: The Effect of Illicit Connections and Trusted References on the Demand for Bureaucratic Intermediation
Jose Ramon Morales Arilla*, Texas A&M University
Ana Ibarra, Universidad Católica Andrés Bello","Enforcement and the Public Lives of Immigrants
Ryan Ellis*, Georgia Institute of Technology","","","John P. Dougherty, Loyola University Maryland","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.33","Economics of Fertility","Household","
Age and Infertility Revisited
Melissa LoPalo*, Montana State University
Dean Spears, The University of Texas at Austin
Mike Geruso, The University of Texas at Austin","Convergence of Fertility in the United States and Its Implications
Sediq Sameem*, Alabama A&M University
Mahjuja M. Taznin, Alabama A&M University","Estimating the Effect of House Prices on Fertility: An Instrumental Variable Approach
Dirk Bethmann*, Korea University
Jae Il Cho, Vanderbilt University","Catholic Missionaries and Fertility: Evidence from India
Priyoma Mustafi*, University of Pittsburgh
Shampa Bhattacharjee, Shiv Nadar University
Roopal Jain, Shiv Nadar University","The Fertility Gap and Economic Freedom
Clara E. Piano*, Austin Peay State University
Lyman R. Stone, Demographic Intelligence","","","Clara E. Piano, Austin Peay State University","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.34","Topics in Climate and Environmental Economics II","Enviro. / Nat. Resources","
Angler Participation and Economic Hardship
Jenny Apriesnig*, Michigan Technological University
Jada Thompson, University of Arkansas","Does Political Alignment across Government Tiers Imply Higher Efficiency in Delivering Public Service? A Case from the Water Sector of Peru
Maria Luisa Corton*, University of South Florida","Environmental Policy Commitments with Uninformed Green Consumers and a Dirty Firm
Dibyajyoti Sinha*, Auburn University","Expansion of Piped Water and Sewer Networks: The Effects of Supply-Side Regulation
Carolina Tojal Ramos dos Santos*, University of Michigan
Bruna Morais Guidetti, University of Michigan","","","","Maria Luisa Corton, University of South Florida","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.35","Spread of COVID-19","Health","
Effect of Face Mask Policies on COVID-19 Cases: Evidence from San Antonio Schools
Gultekin Gollu*, Georgetown University
Meryem Saygili, The University of Texas at Tyler","Influenced by Other States to Act: Do U.S. States’ COVID-19 Measures Spread Geographically?
John Dogbey*, Louisiana Tech University","The Interaction Effect of Teen Driving Restrictions and School Closures on COVID-19 Incidence
Jaesang Sung*, Northern Arizona University
Qihua Qiu, Augusta University","Vaccination Policy, Delayed Care, and Health Expenditures
Wei Fu*, University of Pennsylvania","The Impact of Lockdown on Religious Practice
Carlos Esparza*, Saint Louis University
Angela Cools, Davidson College
Jiwon Park, Korea Institute for International Economic Policy","","","Gultekin Gollu, Georgetown University","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.36","Income and Health","Health","
Heterogenous Effects of Income on Mortality
Johnny Huynh*, University of California, Los Angeles","Revealed Comparative Disadvantage of Infants: Exposure to NAFTA and Birth Outcomes
Hamid Noghanibehambari*, University of Wisconsin–Madison","The Role of Child Tax Credit in the Socioeconomic and Health Recovery during and Post-COVID-19 Period
Ruchika Rungta*, Auburn University
Tannista Banerjee, Auburn University","","","","","Hamid Noghanibehambari, University of Wisconsin–Madison","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.37","Topics in Urban Housing and Economic Development II","Development, Urban & Regional","
Can Land Policy Defy Regional Decline?
Seungyub Han*, University of California, Los Angeles
Sunham Kim, Purdue University","Effects of Two-Rate Property Taxation: Evidence and Lessons
Zhou Yang*, Robert Morris University","The Sharing Economy and Urban Crime
Bryan S. Weber*, College of Staten Island, City University of New York","What Does Theory Imply about Determinants of the Elasticity of Housing Supply in Cities?
Anthony M. Yezer*, The George Washington University
Daniel Broxterman, Florida State University
Yishen Liu, Amazon.com, Inc.","","","","Zhou Yang, Robert Morris University","","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.39","Monetary Economics","Macro","
Identification of Monetary Policy and Its Effects on the Financial Markets through Text-Based Policy
Kumadebis Gemechu*, Western Michigan University","Inflation Targeting Today: A Panel Event Study Model
Swati Sharma*, Florida International University","Mobile Money, Household Finance, and Consumption Decisions: Evidence from the Ghana Panel Survey
Stephen Troveh*, Southern Illinois University","Can Monetary Policy Support Financial Stability? Evidence from Bank Leverage
Ali Uppal*, University of California, San Diego","","","Bryan McCannon, Illinois Wesleyan University","Victor J. Valcarcel, The University of Texas at Dallas","Victor J. Valcarcel, The University of Texas at Dallas
Sourik Banerjee, California State University, Stanislaus
Gaston Chaumont, University of Rochester","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.40","Environmental Economics","Enviro. / Nat. Resources","
The Impact of Adult Awareness about Climate Change on Renewable Energy Consumption in the United States
Mohammad Ismayl Al Masud*, Texas Tech University","Organic Farming Transitions: A Dynamic Bioeconomic Model
Michael Meneses*, Cornell University","Labor Market Impact of Nuclear Power Plants
Reem El Cheikh Taha*, Auburn University","","","","Bryan McCannon, Illinois Wesleyan University","Melanie Khamis, Wesleyan University","Remy Levin, University of Connecticut
Will Davis, Mississippi State University
Melanie Khamis, Wesleyan University","","",""
"11/18/2023","1:00 PM-2:45 PM","1.C.41","Complexity Law and Economics","Policy","
Reconsidering Pigouvian Taxes
Jon Murphy*, Nicholls State University","Private Law and Public Law in a Theory of Society, with an Agent-based Model
Richard E. Wagner*, George Mason University","Political Economy of Usury in Medieval England
James L. Caton*, North Dakota State University","Regulatory Border Conflicts: An Analysis of Interagency Cooperation and Conflict in the Regulation of Digital Finance
Pedro Batista*, University of Leeds","","","Jon Murphy, Nicholls State University","Jon Murphy, Nicholls State University","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.01","Pedagogy: Student Learning, Engagement, and Grading","Teaching","
Engaging Students Using Social Media: An Update on the Students' Perspective
Johnny Ducking*, North Carolina Agricultural and Technical State University
Darshak Patel, University of Kentucky
Darshak Patel, University of Kentucky
Brandon Sheridan, Elon University","Teaching Economics Students How to Learn
Michael Enz*, Virginia Polytechnic Institute and State University","Tracking Economics Learning Outcomes Using Gradescope Homework
Sylvia Kuo*, Brown University","Questions and Simulations: What Is the Best Way to Engage Students in Class?
Alan Green*, Stetson University","The Death of Exams? Grade Inflation and Student Satisfaction When Coursework Replaces Exams
Petar Stankov*, Royal Holloway, University of London","","Simon Halliday, University of Bristol","Josh Staveley-O'Carroll, Babson College","Michael Enz, Virginia Polytechnic Institute and State University
Stephan Lefebvre, Bucknell University
Martin Jones, University of Dundee
Jens Schubert, University of Delaware
Aselia Urmanbetova, Georgia Institute of Technology","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.02","Structural Microeconomics: Immigration","Labor, Metrics","
Labor Market Competition and the Assimilation of Immigrants
Christoph Albert*, Collegio Carlo Alberto
Albrecht Glitz, Pompeu Fabra University
Joan Llull, Universitat Autònoma de Barcelona","Selective Immigration Policies and the U.S. Labor Market
Joan Llull*, Universitat Autònoma de Barcelona","An Estimable General-Equilibrium Structural Model of Immigrants’ Neighborhood Sorting and Social Integration
Yujung Hwang*, Johns Hopkins University","","","","Pengpeng Xiao, Duke University","Yujung Hwang, Johns Hopkins University","Yujung Hwang, Johns Hopkins University
Andrea Moro, Vanderbilt University","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.03","Theory: Dynamic Games","Theory","
Learn to Overcome Discrimination
Yi Chen*, Cornell University","Noisy Sequential Screening with Positive Selection
German Gieczewski*, Princeton University","Integrative Bargaining
Ilwoo Hwang*, Seoul National University","Collusion-Proof Dynamic Mechanisms
Heng Liu*, University of Michigan","","","Fei Li, The University of North Carolina at Chapel Hill","Arjada Bardhi, Duke University","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.04","Crime and Policing: Dynamics","Law & Econ","
Oregonians: Loss Aversion and Intertemporal Demand for Firearms
Katie Bollman*, Oregon State University
Ben Hansen, University of Oregon
Ed Rubin, University of Oregon
Garrett Stanford, University of Oregon","Dynamics of Abusive Relationships
Emily Nix*, University of Southern California","One Size Doesn't Fit All: The Heterogeneous Effects of Prison Programs
Michael LaForest-Tucker*, United States Air Force Academy","A Night in Jail
Michael Makowsky*, Clemson University","","","Jennifer L. Doleac, Texas A&M University","Katie Bollman, Oregon State University","Jillian Carr, Purdue University
William Arbour, University of Montreal
Neil Silveus, Hope College","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.05","Culture and Comparative Development","Development","
The Plough and Polygyny
Gautam Hazarika*, The University of Texas Rio Grande Valley","Culture, Innovation, and Economic Development
Rouzhi Liang*, Southern Methodist University","Barriers to the Cross-Border Diffusion of Climate Change Policies
Trung Vu*, Loughborough University","Culture and Green Innovation: International Evidence
Zouhair Mrabet*, Qatar University
Hamdi Ben Nassr, Qatar University
Mouyad Al Samara, Qatar University","","","Ömer Özak, Southern Methodist University","Gautam Hazarika, The University of Texas Rio Grande Valley","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.06","Policy Effects on DUI Behavior and Women's Health","Health, Policy","
Driving under the Influence & the Minimum Legal Drinking Age
Madeleine Reinhard*, Duke University","Ignition Interlock Laws and DUI Arrests
Brant Walker*, University of California, Berkeley","The Impact of the Minimum Legal Drinking Age on Female Chlamydia Rates
Isabella Antonio*, Duke University
Natalie Katz, Duke University","The Unintended Consequences of Women's Clinic Closures on Preventive Care
Dinushka Paranavitana*, West Virginia University
Daniel Grossman, West Virginia University
David Slusky, The University of Kansas","","","Jeffrey DeSimone, Duke University","Jeffrey DeSimone, Duke University","Brant Walker, University of California, Berkeley
Isabella Antonio, Duke University
Dinushka Paranavitana, West Virginia University
Madeleine Reinhard, Duke University","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.07","Education and the Environment","Education, Enviro. / Nat. Resources","
The Impact of International Peers on College Student Achievement
Raghav Rakesh*, Michigan State University","Lead in the Air: Unraveling the Long-Term Impacts of Lead Exposure
Jiee Zhong*, Texas A&M University
Thao Duong, Texas A&M University","Weather and College Student Achievement
Andrew Earle*, East Carolina University
Raghav Rakesh, Michigan State University","","","","Andrew Earle, East Carolina University","Andrew Earle, East Carolina University","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.08","Applied Labor Economics IV","Labor","
Impact of College Education in the Early 1900s
Joshua Price*, Southern Utah University
James Clark, Southern Utah University
Candace Fehr, Southern Utah University
Benjamin Funk, Southern Utah University
Mitch Halvorson, Southern Utah University
Braydon Saxton, Southern Utah University
Mitchell Zufelt, Southern Utah University","Teen Social Interactions and Well-Being during the COVID-19 Pandemic
Charlene Marie Kalenkoski*, James Madison University
Sabrina W. Pabilonia, U.S. Bureau of Labor Statistics","Unwelcomed Heritage of Islamic Extremists: Impact of Parents Exposed to First Taliban Rule on School Attendance of Children
Ahmad Shah Mobariz*, University of Pittsburgh
Seung-Hun Chung, The Ohio State University","The Impact of Large-Scale Adoption of Electronic Information Content on Public Libraries and Patron Behavior
Gregory Gilpin*, Montana State University","","","Orgul Ozturk, University of South Carolina, and Michael Stephens Kofoed, The University of Tennessee, Knoxville","Michael Stephens Kofoed, The University of Tennessee, Knoxville","Maria Zhu, Syracuse University
Clint Harris, University of Wisconsin–Madison
Michael Stephens Kofoed, The University of Tennessee, Knoxville
Aaron Phipps, United States Military Academy","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.09","Shocks to the System: Economic Responses to Change","Misc.","
Wildfires and Household Purchasing Behaviors
Crystal Zhan*, University of South Carolina
Tamara Sheldon, University of South Carolina","Aim High: The Impacts of Marijuana Legalization on Air Force Recruitment and Disciplinary Actions
Zach Fone*, United States Air Force Academy
Aaron Albert, United States Air Force Academy
Brady Gartman, United States Air Force Academy
Anne Portlock, United States Air Force Academy","Time Use and Activity over the Pandemic
Gregory Colman*, Pace University
Dhaval M. Dave, Bentley University
Joseph Sabia, San Diego State University","Absentee Landlords and Land Tenancy in India
Melanie Khamis*, Wesleyan University
Annemie Maertens, University of Sussex,
Siddharth Sharma","","","Jose Manuel Fernandez, University of Louisville","Sheena L. Murray, The University of Tennessee at Chattanooga","Zach Fone, United States Air Force Academy
Gregory Colman, Pace University
Melanie Khamis, Wesleyan University
Manu Raghav, DePauw University","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.10","Causal Inference II","Metrics","
Robust Identification in Regression Discontinuity Designs with Covariates
Carolina N.M. Caetano*, University of Georgia
Gregorio S. Caetano, University of Georgia
Juan Carlos Escanciano, Universidad Carlos III de Madrid","Inference on Heterogeneous Treatment Effects in Regression Discontinuity Designs
Sebastian Calonico*, Columbia University
Matias D. Cattaneo, Princeton University
Max Farrell, University of Chicago
Filippo Palomba, Princeton University
Rocio Titiunik, Princeton University","Extreme Changes in Changes
Yuya Sasaki*, Vanderbilt University
Yulong Wang, Syracuse University","A Robust Method for Microforecasting and Estimation of Random Effects
Silvia Sarpietro*, University of Bologna
Raffaella Giacomini, Federal Reserve Bank of Chicago
Sokbae Lee, Columbia University","","","Pedro Sant'Anna, Emory University, Yuya Sasaki, Vanderbilt University, and Tymon Sloczynski, Brandeis University","Tymon Sloczynski, Brandeis University","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.11","Trade Policy","Policy, Trade","
Tariff or Foreign Aid for Pollution-Abatement R&D Investments: Carrots Vis-a-Vis Sticks Policies to Deal with Cross-Border Pollution
Sajal Lahiri*, Southern Illinois University
Aroni Kabita Porna, Southern Illinois University","Product-Specific Rules of Origin and Trade Preference Utilization: Evidence from CAFTA-DR
Karin Gourdon*, Paris School of Economics
Woori Lee, World Bank
Nadiah Rocha, World Bank
Thomas Verbeet, World Trade Organization","Revisiting the Effects of Regional Trade Agreements
Raymond Robertson*, Texas A&M University
Kaleb Abreha, Texas A&M University","Sectoral Linkages and the Costs and Benefits of Negotiating Free-Trade Agreements
Gunnar Heins*, University of Florida
Hamid Firooz, University of Rochester
Shubhi Agarwal, University of Florida","","","Maia Linask, University of Richmond","Thomas B. Zylkin, University of Richmond","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.12","Spatial Distribution of Economic Activity: The City","Urban & Regional","
Modal Choice and Income in Mexico City
Chris Severen*, Federal Reserve Bank of Philadelphia","Displacing Congestion: Evidence from Paris
Lea Bou Sleiman*, National Bureau of Economic Research","Homeownership, Polarization, and Inequality
Andrii Parkhomenko*, University of Southern California","College Tuition and Regional Convergence
Sang Min Lee*, University of South Carolina","","","Simon Fuchs, Federal Reserve Bank of Atlanta","Simon Fuchs, Federal Reserve Bank of Atlanta","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.13","Recidivism, Policing, and Labor II","Labor, Law & Econ","
The Day after Chesa Boudin: Policing and Prosecution in San Francisco
Lauren Schechter*, Social Science Research Council
Anna Kyriazis, Social Science Research Council
Dvir Yogev, University of California, Berkeley","Immigration Enforcement, Entrepeneurship, and Firm Entry/Exit
Samyam Shrestha*, University of Georgia
Hugo Sant'Anna, University of Georgia","'Closer to Home, Farther from Recidivism?' The Effect of New York City’s 'Close to Home' Reform on Juveniles
Tessie Krishna*, Rutgers University","Does Police Enforcement Behavior Change When Cannabis Is Legalized?
Rhet Smith*, The University of Texas at El Paso
Xiuming (Audrey) Dong, Johns Hopkins University
Thomas Lebesmuehlbacher, Xavier University","Private Prison Blues: The Effect of Private Prisons on Recidivism Rates and State Outcomes
Grace Phillips*, The University of Memphis","","Matias Axelrod, Michigan State University","Matias Axelrod, Michigan State University","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.14","Econometrics: Measurement Error and Feedback Models","Metrics","
Estimating the Feedback among Credit Rating Agencies and Its Impact on the Municipal Bond Market
Karim Chalak*, The University of Manchester
Daniel Kim, BI Norwegian Business School","The Persistence of Income Reporting Errors in Household Survey Data
Christopher R. Bollinger*, University of Kentucky
Iva V. Tasseva, London School of Economics and Political Science","Inference on High Dimensional Selective Labeling Models
Shakeeb Khan*, Boston College
Elie Tamer, Harvard University
Qingsong Yao, Boston College","","","","John Pepper, University of Virginia","John Pepper, University of Virginia","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.15","Education, Fertility, and Human Capital","Education, Household, Labor","
Siblings, Human Capital, and Adult Outcomes
Zhiqiang Liu*, State University of New York at Buffalo
Yuting Bai, Hunan University","How Does Technological Similarity Affect High-Educated Worker’s Mobility? Evidence from Online Resumes
Lanfang Deng*, South China Normal University
Yunzhi Lu, South China Normal University
Harminder Battu, University of Aberdeen","'Growing Pains' in China's Social Security System
Xincheng Qiu*, Arizona State University
Hanming Fang, University of Pennsylvania","Do Fewer Siblings Lead to Better Mental Health and Subjective Well-Being? Evidence from China’s Family Planning Policies
Zhuang Hao*, Beihang University
Huihui Cheng, Beihang University","","","Haizheng Li, Georgia Institute of Technology","Eva Dziadula, University of Notre Dame","Cynthia Bansak, St. Lawrence University
Zhiqiang Liu, State University of New York at Buffalo
Lanfang Deng, South China Normal University
Xincheng Qiu, Arizona State University","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.16","Macroeconomic Perspectives on the Indian Economy","Macro","
Support Prices, Input Subsidies, and Misallocation in Indian Agriculture
Pubali Chakraborty*, Bates College
Anand Chopra, Indian Institute of Technology Kanpur
Lalit Contractor, Ashoka University","The Response of Consumption to Transitory Income Shocks: Structural vs. Quasi-Experimental Estimates from India
Jingya Sun*, Louisiana State University","Regional Growth and Heterogeneous Convergence in India: An Extended View from Outer Space
Sujana Kabiraj*, University of Wisconsin–Stevens Point
Carlos Mendez, Nagoya University","","","","Areendam Chanda, Louisiana State University","Areendam Chanda, Louisiana State University","","","",""
"11/18/2023","3:00 PM-4:45 PM","1.D.17","Banking Sector","Macro","","","","","","","","Eduardo Guimaraes Minuci, North Carolina Agricultural and Technical State University","","","","
How Does SWF Investment Impact Bank Risk-Taking Behavior?
Eduardo Guimaraes Minuci*, North Carolina Agricultural and Technical State University
Ruiyuan Chen, West Virginia University
Scott Schuh, West Virginia University"
"11/18/2023","3:00 PM-4:45 PM","1.D.18","Price Dynamics, Entry, and Bidding Behavior at Auctions and in Public Procurement","Public","
Unbalanced Bidding and the Time Preferences of Contractors in Public Procurement
Justin Marion*, University of California, Santa Cruz
Benjamin Rosa, University of Michigan ","Auction Size and Price Dynamics in Sequential Auctions
George Deltas*, University of Illinois at Urbana-Champaign","Identification and Estimation of Affiliated Private Values Auctions with Unobserved Heterogeneity
Jorge Balat*, The University of Texas at Austin","Winner's Curse and Entry in Highway Procurement
Benjamin Rosa*, University of Michigan
Dakshina De Silva, Lancaster University","","","Georgia Kosmopoulou, The University of Oklahoma","Georgia Kosmopoulou, The University of Oklahoma","","","",""
